Block,Plot,BlockPlot,Treatment,Year,Season,SeasonYear,# plants total
1,8a,18a,Herbicide 2x,2020,Spring,Spring2020,25
1,8b,18b,Manual removal 2x,2020,Spring,Spring2020,4
2,4a,24a,Manual removal 2x,2020,Spring,Spring2020,54
2,4b,24b,Herbicide 2x,2020,Spring,Spring2020,54
3,5a,35a,Herbicide 2x,2020,Spring,Spring2020,60
3,5b,35b,Manual removal 2x,2020,Spring,Spring2020,30
4,7a,47a,Herbicide 2x,2020,Spring,Spring2020,60
4,7b,47b,Manual removal 2x,2020,Spring,Spring2020,65
1,8a,18a,Herbicide 2x,2021,Spring,Spring2021,4
1,8b,18b,Manual removal 2x,2021,Spring,Spring2021,0
2,4a,24a,Manual removal 2x,2021,Spring,Spring2021,3
2,4b,24b,Herbicide 2x,2021,Spring,Spring2021,12
3,5a,35a,Herbicide 2x,2021,Spring,Spring2021,6
3,5b,35b,Manual removal 2x,2021,Spring,Spring2021,0
4,7a,47a,Herbicide 2x,2021,Spring,Spring2021,7
4,7b,47b,Manual removal 2x,2021,Spring,Spring2021,28
1,8a,18a,Herbicide 2x,2021,Fall,Fall2021,65
1,8b,18b,Manual removal 2x,2021,Fall,Fall2021,36
2,4a,24a,Manual removal 2x,2021,Fall,Fall2021,71
2,4b,24b,Herbicide 2x,2021,Fall,Fall2021,99
3,5a,35a,Herbicide 2x,2021,Fall,Fall2021,205
3,5b,35b,Manual removal 2x,2021,Fall,Fall2021,57
4,7a,47a,Herbicide 2x,2021,Fall,Fall2021,91
4,7b,47b,Manual removal 2x,2021,Fall,Fall2021,160
1,8a,18a,Herbicide 2x,2022,Spring,Spring2022,35
1,8b,18b,Manual removal 2x,2022,Spring,Spring2022,6
2,4a,24a,Manual removal 2x,2022,Spring,Spring2022,4
2,4b,24b,Herbicide 2x,2022,Spring,Spring2022,71
3,5a,35a,Herbicide 2x,2022,Spring,Spring2022,24
3,5b,35b,Manual removal 2x,2022,Spring,Spring2022,1
4,7a,47a,Herbicide 2x,2022,Spring,Spring2022,20
4,7b,47b,Manual removal 2x,2022,Spring,Spring2022,29
1,8a,18a,Herbicide 2x,2022,Fall,Fall2022,162
1,8b,18b,Manual removal 2x,2022,Fall,Fall2022,22
2,4a,24a,Manual removal 2x,2022,Fall,Fall2022,14
2,4b,24b,Herbicide 2x,2022,Fall,Fall2022,27
3,5a,35a,Herbicide 2x,2022,Fall,Fall2022,42
3,5b,35b,Manual removal 2x,2022,Fall,Fall2022,5
4,7a,47a,Herbicide 2x,2022,Fall,Fall2022,52
4,7b,47b,Manual removal 2x,2022,Fall,Fall2022,364
