Block,Plot,BlockPlot,Treatment,Code,Year,Measured_costs,SQRTmcosts
2,4a,BP2_4a,Control No Treatment - Pull 2x,CNT-P,2018,0,0
2,4a,BP2_4a,Control No Treatment - Pull 2x,CNT-P,2019,0,0
2,4a,BP2_4a,Control No Treatment - Pull 2x,CNT-P,2020,13.01011556,3.606953778
2,4a,BP2_4a,Control No Treatment - Pull 2x,CNT-P,2021,3.850097778,1.962166603
2,4a,BP2_4a,Control No Treatment - Pull 2x,CNT-P,2022,0.936124444,0.967535242
2,4b,BP2_4b,Control No Treatment - Herbicide 2x,CNT-H,2018,0,0
2,4b,BP2_4b,Control No Treatment - Herbicide 2x,CNT-H,2019,0,0
2,4b,BP2_4b,Control No Treatment - Herbicide 2x,CNT-H,2020,2.173478717,1.474272267
2,4b,BP2_4b,Control No Treatment - Herbicide 2x,CNT-H,2021,2.395622197,1.547779764
2,4b,BP2_4b,Control No Treatment - Herbicide 2x,CNT-H,2022,1.831781966,1.353433399
3,5a,BP3_5a,Control No Treatment - Herbicide 2x,CNT-H,2018,0,0
3,5a,BP3_5a,Control No Treatment - Herbicide 2x,CNT-H,2019,0,0
3,5a,BP3_5a,Control No Treatment - Herbicide 2x,CNT-H,2020,2.129528871,1.459290537
3,5a,BP3_5a,Control No Treatment - Herbicide 2x,CNT-H,2021,2.550716157,1.597096164
3,5a,BP3_5a,Control No Treatment - Herbicide 2x,CNT-H,2022,1.562323107,1.249929241
3,5b,BP3_5b,Control No Treatment - Pull 2x,CNT-P,2018,0,0
3,5b,BP3_5b,Control No Treatment - Pull 2x,CNT-P,2019,0,0
3,5b,BP3_5b,Control No Treatment - Pull 2x,CNT-P,2020,3.99168,1.997918917
3,5b,BP3_5b,Control No Treatment - Pull 2x,CNT-P,2021,2.096648889,1.44798097
3,5b,BP3_5b,Control No Treatment - Pull 2x,CNT-P,2022,0.175902222,0.419406988
4,7a,BP4_7a,Control No Treatment - Herbicide 2x,CNT-H,2018,0,0
4,7a,BP4_7a,Control No Treatment - Herbicide 2x,CNT-H,2019,0,0
4,7a,BP4_7a,Control No Treatment - Herbicide 2x,CNT-H,2020,2.532744104,1.59145974
4,7a,BP4_7a,Control No Treatment - Herbicide 2x,CNT-H,2021,2.138109503,1.462227582
4,7a,BP4_7a,Control No Treatment - Herbicide 2x,CNT-H,2022,1.196185677,1.093702737
4,7b,BP4_7b,Control No Treatment - Pull 2x,CNT-P,2018,0,0
4,7b,BP4_7b,Control No Treatment - Pull 2x,CNT-P,2019,0,0
4,7b,BP4_7b,Control No Treatment - Pull 2x,CNT-P,2020,13.81795556,3.717251076
4,7b,BP4_7b,Control No Treatment - Pull 2x,CNT-P,2021,18.24543111,4.271467091
4,7b,BP4_7b,Control No Treatment - Pull 2x,CNT-P,2022,9.405342222,3.06681304
